.,Spanish
EventCriptaTombaFallo.text,Remueves la làpida y un pedazo cae al suelo. <b>¡¡estrepitosamente !!</b>
EventCriptaTombaFallo.button1,Continuar
SpawnZombieCripta.button1,Continuar
EventPortalEntra.text,"Un chisporroteo te eriza la piel de todo el cuerpo.\nEs una caricia y un mordisco a la vez, quema y refresca.\nY una fuerza violenta te levanta del suelo y te absorbe...\n\nLa Bruja cierra los párpados un segundo y gruñe mirando de reojo el portal, con una mueca que parece una sonrisa de disgusto o de placer.\n\nLe investigador@ deja caer sus objetos y desaparece. \nRetira la miniatura de le Investigador@ del tablero.\nNo cuenta como Eliminado, le jugador@ no puede intervenir mientras su miniatura no vuelva al tablero. \n"
EventPortalEntra.button1,Continuar
EventAltarPortal.button2,No entras
EventBiblioQuadreResolt.text,"Se oye un ruido de engranajes y el cuadro se separa. \nUn agujero en la pared te da acceso a un extraño objeto: \nUna hermosa daga curvada y brillante.\nLa hoja es muy delgada y afilada. \nLa empuñadura está profusamente decorada con símbolos y figuras geométricas. \nDestaca un triángulo, con piedras brillantes en los tres vértices.\n\nRecibes el Objeto {c:QItemDagaRitual}\nRetira la ficha de Interacción."
EventFantasmaMort.text,"El ente se disuelve ante tus ojos con un Grito desesperado.\nSu triste cara queda grabada en tu retina.\nTe inunda una tristeza y una soledad infinitas.\n\nPuedes retirar la miniatura del Espectro."
EventRoomLlit.button1,Continuar
SpawnRuidoProfundoCuina.button1,Continuar
SpawnRuidoProfundoCuina.text,"Ojos muertos, piel escamosa y el hedor de las tumbas marinas... una pesadilla que te acecha, chorreando algas, agua y fango.\n\n Coloca la miniatura Híbrido de Profundo, \nen el espacio indicado de la Cocina."
EventRuidoCocina.text,"Los ruidos que has producido tienen una especie de eco en otros lugares de la casa. Oyes raspaduras y roces en las paredes y suelos hasta que se concretan los pasos:\n¡¡la cocina!!"
EventRuidoCocina.button1,Continuar
EventRuidoDespensa.text,"Tus RUIDOS han despertado las sombras\nChapoteos y gruñidos resuenan como respuesta"
SpawnProfundoSotano.button1,Continuar
SpawnProfundoDespensa.button1,Continuar
SpawnProfundoSotano.text,"Una especie de animal antropomorfo chorreando agua y lodo salta a cuatro patas por el suelo del sótano. \nSalpica agua de un verde repulsivo, y olfatea el aire en busca del origen de los molestos sonidos. \nBusca, para poder  despedazar a quien los produce.\n\nUbica una figura de Profundo en el lugar indicado"
EventProfundoAvanza.button1,Continuar
EventEsquinaEspejoPrueboconDaga2.text,"Una fuerte descarga te lanza contra la pared.\n\nSufres 3 de Daño anulados con {strength}.\nAdquieres estado Aturdido."
EventEsquinaEspejoPrueboconDaga2.button1,Continuar
EventEsquinaEspejoAgujeroSICruz.button2,Cancelar
EventSotanAction_Primer.text,"Buscas indicios de rozaduras, o corrientes de aire \n\nSupera una tirada de {observation} \n+1 dado por cada investigador@ en el espacio"
EventSotanAction_Primer.button1,Continuar
EventPont2.text,"Al incorporarte te agarras a los pasamanos de cuerda.\nY alguno de los tensores se desprende arrastrando algunas rocas que caen haciendo RUIDO por el negro abismo."
EventPont2.button1,Continuar
EventPont3.text,"Oyes caer las piedras, golpeando las paredes.\nCada golpe te paraliza un poco más.\nEscudriñas la oscuridad bajo tus pies calculando la distancia\n\n¡¡Tomp, PLONK, TUMBP, plumn, splashhh, ... ... ??? !!\n\n<b>- ¿Que ha sido eso?</b>\n"
EventPont3.button1,Continuar
EventxObjetivoActivado.button1,Continuar
TokenObjetivo.text,"Llegáis a la puerta jadeando, casi sin aire.\nParece que podéis escapar, esta vez.\nSi tenéis al menos {var:NumPruebas} pruebas.\n "
TokenObjetivo.button1,Tenemos las pruebas
UIObjetivoCumplidoTxt.uitext,"Atravesáis la puerta a empujones.\nSalís al Sol. Es cálido y agradable.\nYa nada puede dañaros.\n\n<b>*** OBJETIVO CUMPLIDO ***</b>\n\nHabéis sobrevivido. \nTenéis pruebas de lo que está pasando.\nVuestras heridas se curaran.\nEncontraréis ayuda.\nAlguien os creerá y acabara con la amenaza.\nVendrán preparados y ... \nOs creeran, ¿verdad?  \n¡¡Os tienen que creer!! ¿¿VERDAD??\n\n(tienen que hacerlo...)\n\nFIN ?"
EventTioHablar.text,"Te acercas lentamente mientras sigue tocando la flauta infernal. Obcecado, sin ver nada.\n¿ Eres  {c:EventInici} ?"
EventTioHablar.button1,Soy {c:EventInici}
EventTioHablar.button2,Soy otr@ investigador@
EventTioSoyYo.button2,Fallo
EventMamaMuerta.text,"Los ojos de la bruja se vuelven líquidos como petróleo.\nDespués el agujero de su boca.\nSu cara se hunde en una negrura que no existe.\nTodo su cuerpo convulsiona y se dobla sobre sí mismo.\nHacia adentro.\nSe encoje, se rompe, se licua en el espacio,\n en un parpadeo rítmico e hipnótico.\nEn la sala del altar el portal fluctua.\nY se sincronizan los ritmos.\nHasta que se transforman en uno.\nY desaparecen con un chasquido.\n\nElimina la miniatura de la bruja.\n\nLe investigador@ puede quitar una de sus fichas de Horror boca abajo."
EventMamaMuerta.button1,Continuar
EventMamaMuerta2.text,"Donde estaba la bruja ahora no hay nada,\nsólo un vacío crepitante.\nEn la sala del altar queda una fisura que burbujea.\nDe ella emergen unos dedos viscosos.\nUna mano rompe la superficie gelatinosa.\nY se desploma un cuerpo humano.\n \nEs le investigador@ que había entrado en el portal.\nPon su miniatura en el espacio del Altar frente al portal.\nSe cierra la fisura con un crujido que rompe el espacio y el tiempo, como si nunca hubiera estado allí.\n\nLe investigador@ devuelve todas sus cartas de Daño y Horror.\nY toma los estados Loco y Herido.\n"
EventMamaMuerta2.button1,Continuar
EventxELIMINADO.button1,Continuar
EventxEliminadoCheck.text,"{success}\n\nEl turno que teníais para resolver el Objetivo,\ndespués de la eliminación de le investigador@,\nse ha consumido ...\n\n{success}"
EventxELIMINADO.text,"*** INVESTIGADOR@ ELIMINAD@ ***\nSegún las reglas del juego \ncuando un@ investigador@ es Eliminad@\nHay que resolver el Objetivo en el próximo turno\n***********************"
EventxEliminadoCheck.button1,Continuar
SpawnZombieAltar.text,"El cadáver sobre el Altar de piedra también cruje.\nSe quiebra y se retuerce.\nY se pone en pie, obscenamente desafiante.\n\nSi hay ficha de Búsqueda la retiras.\nPon Miniatura de Zombie en el Altar.\n"
SpawnZombieAltar.button1,Continuar
EventMama5Turnos_Zombie.button1,Continuar
UIObjetivoCumplido_cont.button1,Botón1
EventPortalEngulle5.button1,Continuar
SpawnShoggoth.text,"Desde el otro lado empieza a materializarse una forma\nCada vez más grande, enorme, como un tren \n se aprieta contra las paredes con sus viscosas burbujas protoplasmáticas y sus miríadas de ojos como pústulas de luz\nColoca un monstruo [c:SpawnShoggoth}"
EventPortalEngulle5.text,"El Portal vuelve a chisporrotear como cuando se tragó a le Investigador@.\nParece que se abre y devuelve algo del otro lado."
SpawnShoggoth.button1,Continuar
EventEsquinaEspejo1Acierto.button1,Continuar
EventEsquinaEspejoFallo.text,"Es confortable y huele bien, da calor a tu piel.\nTe adormilas y sueñas con fiestas y danzas alrededor del fuego.\nEl calor en la cara, en las mejillas, calor en los ojos.\n¡¡Te quemas!! , despiertas de golpe.\nSueltas lo que tenías en las manos y arrancas tus brazos de dentro de la trampa del cajón\nSufres 1 Carta de daño, y 1 de Horror anulada por {lore}\n"
EventEsquinaEspejoFallo.button1,Continuar
TokenEsquinaEspejoAccion.text,El espejo y su agujero siguen atrayendote como la corriente de un río hacia una cascada...
TokenEsquinaEspejoAccion.button1,Investigar  {action}
EventxObjetivoActivado.text,"*** OBJETIVO ***\nYa tienes lo que venias a buscar.\nYa sabes lo que pasaba con el Dr. Blackwood.\nY atisbas lo que puede llegar a pasar.\nL@s Investigador@s ganan la partida si consiguen salir al menos {var:NumHeroes} investigador@s, \ncon al menos {var:NumPruebas} pruebas.\nActualmente has recibido {var:Pruebas} pruebas.\n*********************\nPon ficha de interacción en {c:TileHall}\n"
Event_ActivaBruja.text,"El oscuro canto se detiene de repente.\n...\nEl silencio vacío encoge el corazón.\nCon sobresalto veis que la mujer ya no canta, y os busca. \nOs caza con la mirada, más allá de vuestras almas."
Event_ActivaBruja.button1,Continuar
EventDespatxPortaTeclau.button3,Cancelar
EventDagaLook.text,"Una daga curvada y brillante.\nLa hoja es muy delgada. \nLa empuñadura está profusamente decorada con piedras preciosas que forman símbolos y figuras geométricas.\nDestaca un triángulo con cristales brillantes en sus tres vértices.\nA veces emite un resplandor verde obsceno. \n\n {success}\nTiene la capacidad <b>Proyectar</b> que permite, gastando una acción, Proyecta la daga en las manos de otr@ investigador@ al alcance.\nAl usarla como arma se lanzan <b>dos dados más</b>.\n"
EventDagaLook.button1,Continuar
EventRoom2CartaRecoge.button1,Continuar
EventRoom2CajaTroballa.button1,Continuar
TokenRoom2Carta.button1,Examinar Papel {action}
EventRoom2CartaRecoge.text,"Deslizas tus dedos entre telarañas y recoges el papel\n pringoso de sangre. \n\nEs una carta dirigida a {c:EventInici}.\nCon una caligrafía apresurada y tachonada de coágulos.\n\nRetira la ficha de Observación."
CustomMonster_EspectroHenry.monstername,Espectro
EventSotanEscala.button4,Esperar ...
EventRoom2Armario.button3,Fallas
EventFINAL.button1,FIN
TokenCovaExplPont.button1,Explorar {action}
TokenDespatxExploPorta.button2,Forzar la puerta {action}
TokenPontExplAltar.text,"Una inquietante puerta insertada en la roca.\nAl otro lado... ¿música?"
EventCriptaFondoTest.text,"La oscuridad es tan densa que nadie quiere mirar ahí.\nEl olor a putrefacción de siglos te asfixia.\n\n(deja la ficha de Vista)"
TokenCriptaFondo.button1,Continuar
EventRuidoDespensa.button1,Continuar
SpawnProfundoDespensa.text,"Una especie de animal antropomorfo cubierto de plantas marinas, gorgotea, o parlotea mientras escudriña con sus ojos de tres párpados buscando el origen de los ruidos molestos. Para encontrar a quien los ha hecho y silenciarlo para siempre.\n\nUbica una figura de Profundo en el lugar indicado."
EventProfundoAvanza.text,"El monstruo Profundo\nAvanza un paso hacia le Investigador@ más cercano "
SpawnProfundoPont.button1,Continuar
SpawnProfundoPont.text,"El pozo reverbera el eco de uñas arañando las piedras. \nCada vez más arriba, hasta raspar las tablas del puente.\nUn nauseabundo ser, entre pez y homínido, salta entre las cuerdas chorreando un agua turbia y apestosa. \nEl monstruo, alertado por los ruidos, busca la causa, para silenciarlos. \nOlfatea el aire: Tu aire.\n\nColoca un monstruo Profundo en el {c:TilePont}."
EventPortalNoEntras.text,"La vista se te nubla y quieres dejarte llevar.\nEntrar por la puerta y olvidarlo todo, acabar con todo.\nMecid@ por el zumbido eléctrico...\nLuchas contra tu obsesión y decides retroceder, y alejarte lo suficiente.\n\nRecibes una carta de Horror boca abajo, \ny giras una de Horror que ya tuvieras.\n\nRecibes una pista {clue}."
EventPortalNoEntras.button1,Continuar
UIObjetivoCumplidoTxt.button1,FIN?
EventFINAL.text,|||\n<i>"La muerte es misericordiosa,\nya que de ella no hay retorno;\n pero para aquel que regresa \nde las cámaras más profundas de la noche, \nextraviado y consciente, \nno vuelve a haber paz"</i>\n                                                             <b>H.P. Lovecraft</b>\n|||
UIFAILTEXT.button1,FIN
EventRuidoSotano.text,"Tus <b>RUIDOS</b> han despertado las sombras\nChapoteos y gruñidos resuenan como respuesta"
EventRuidoSotano.button1,Continuar
EventDagaLook2.text,"{success}{success}{success}\nDespués de insertarle la pieza dorada.\nTambién aumenta al Doble de Daño.\n\nSe puede Proyectar.\nSe tiran +2 dados por estar Hechizada.\nY el daño final se multiplica por dos por la Pieza dorada."
EventDagaLook2.button1,Continuar
EventRuidoPont.button1,Continuar
EventRuidoPont.text,"Tus <b>RUIDOS</b> han despertado al Abismo\nChapoteos y rugidos afilados resuenan como respuesta"
UIHallCuadroTocame.uitext,Tócame
EventHallCuadroClick.button1,Dejar de mirarlo
EventHallCuadroClick.button2,Seguir mirando
EventHall_AdExplorers.text,"\nPon fichas de Exploración en las dos puertas. \nY una ficha de Búsqueda en el cuadro."
EventTioOtro.button3,Le atacas
EventMamaMuerta3.text,Elimina la ficha de Interacción ubicada en el módulo {c:TileAltar}
EventMamaMuerta3.button1,Continuar
CustomMonster_Mama_Bruixa.monstername,Mama Y'hlaarsh (bruja)
CustomMonster_Mama_Bruixa.info,-
TokenCovaExpCripta.text,Una ominosa losa de piedra negra cierra la cueva.
EventCriptaFondoInsiste.button1,Botón1
EventCriptaFondoTest.button1,Continua
EventCriptaZombieGo.text,En la oscuridad, unos ruidos de arrastre se acercan hacia ti.
EventCriptaZombie_Mort.button1,Continuar
EventCriptaFondo_Usado.button1,Botón1
EventCriptaZombie_Mort.text,"La criatura cae al suelo y se desmenuza en una nube de polvo.\n\n<i><color=grey>Susurros, susurros en lo profundo</color></i>\n"
SpawnZombieCripta.text,"Desde la negrura,\nalgo que fué una mujer se arrastra hacia ti.\nTiene el cráneo hundido y unas líneas de pintura amarilla chorreando desde unas cuencas vacías.\n\nColoca una Miniatura de Zombie"
EventHallAdMódulos.button1,Continuar
UIDiarioText3.uitext,"<i>...van llegando,  lo peor que no afecte a l...\n..proveerme ayuda, ellos si ##s... caso como #raba ...\n...a Henry le advertí  ... pararlo#####...terrible culpa\n...la he guardado en el cuad###geom###creto...\n..#en piezas separadas..  daga hec##zo# ... es tan poderosa m###biblio## Ella sabra tratarlos,  este diario# me #yuda   \n...Solsticio...consecuencia#...profundis\n...imparable## ..demasiado ..Mama ....###unca!  ... Ellos ven##...la Puerta...##no ha vuelto #el fin####\n </i>                                                        [Continuar]"
EventBiblioA_1Uno.text,"Centenares de libros arcaicos \nque quieres leer ahora mismo... Todos.\n Pergaminos que hablan de viajes a África y  América del Sur.\n Costumbres de tribus desconocidas recopiladas y documentadas.\nSospechas que el tío Blackwood tenía unos intereses muy peculiares y que había profundizado en ellos.\nAprendiendo cosas que quizá nadie debería saber.\n\nRecibes una pista  {clue}.\nY te guardas el objeto {c:QItemCosa_o_Libro}.\n\nRetira ficha de Búsqueda."
CustomMonster_EspectroHenry.info,-
UIHallQuadro2_continua.button1,Botón1
UIDespatxParetContinua.button1,Botón1
EventCuinaTerraObserva.text,"{observation}Parece que hay manchas que pueden darte una teoría.\nFijate bien. Tira {observation}"
EventCuinaTerraObserva.button1,Continuar
TokenCuinaExplRebost.text,La puertecita de la despensa también está sucia y rayada
UIRoom2CartaCont.button1,Botón1
TokenCuinaAlmacenAcccion.text,Varios objetos y enseres han caído al suelo.
UICovaDibuixCont.button1,Botón1
EventTioSoyYoSuperado.text,|||Te atraviesa su triste mirada. \nUna lágrima aparece en su ojo derecho, luego otra.\nSilencio.\n...\n-He sido mala persona {c:EventInici}.\n-He hecho cosas... Henry... y otros...muchos.\n- Y Ellos aquí, por mi ...\nDe repente su cara cambia, sus ojos se abren:\n"LA FAMILIA, ¡¡ES LO PRIMERO!!" .\nEl eco de su grito reverbera como un feroz presagio.|||
UIFail_cont.button1,Botón1
EventMama5Turnos_Zombie.text,"La {c:SpawnMama} cierra los ojos y la boca.\nY aprieta los ojos y la boca como si empujara algo desde dentro.\nExtiende una mano en dirección al Altar, y la piedra cruje..."
EventRuidoPasillo.text,"Tus <b>RUIDOS</b>\n han llamado la atención.\nAlgo repugnante se mueve por el pasillo."
EventRuidoPasillo.button1,Continuar
SpawnProfundo_Pasillo.text,"Aparece en el pasillo un terrible ser híbrido, con ojos bulbosos y hambrientos en un rostro viscoso y hediondo. Busca el origen de los ruidos con ansia. \n\nColoca en {c:TilePasilloComedor} una miniatura de Híbrido de Profundo  "
SpawnProfundo_Pasillo.button1,Continuar
EventRoom2Armario.button5,Fallas
Event_TESTer.button1,Botón1
EventRoom2Armario.button4,Superas la tirada
EventRoom2ArmarioAbrirSI.button1,¡¡ Mas fuerte !!
TokenEsquinaHuecoVista.button1,Continuar
EventEsquinaHuecoPuerta.text,"\nUn marco de dintel alto deja ver toda la esquina del pasillo.\nNo se tratará como puerta, solo como límite de espacios.\n\nRetira la ficha de Vista"
EventEsquinaHuecoPuerta.button1,Continuar
TokenEsquinaHuecoVista.text,Cualquier Investigador@ en {c:TileEsquina} puede ver que aquí hay un hueco sin puerta.
EventxObjetivoCumplidoCheckPortal.button1,Continuar
EventxObjetivoCumplidoCheckPortal.text,"Antes de salir por la puerta principal.\nApesadumbrados por la pérdida de un@ compañer@.\nSentís un borboteo desagradable sobre vosotr@s.\nUna vibración sacude vuestros cráneos.\nY al mirar hacia arriba veis una especie de rasguño en la realidad, una fractura en el espacio tiempo.\nY algo surge de ahí. \nUnas manos viscosas se deslizan por el portal, seguidas de un cuerpo que cae al suelo, a vuestros pies.\nPerplej@s y asustad@s reconocéis a vuestr@ compañer@ perdido en el portal.\nRecupera la miniatura de l@ investigador@.\nLe jugador@ descarta todas sus cartas de Daño y Horror.\nY recibe los estados Herido y Loco.\n\nEl portal desaparece. \nOs mirais tod@s y corréis hacia la salida.\n"
EventEsquinaEspejoPrueboconDaga.button2,Dejarlo, por ahora
EventxObjetivoCumplidoHeroes2.button1,Somos suficientes !!
EventxObjetivoCumplidoHeroes2.button2,Aún NO !!
EventxObjetivoCumplidoHeroes2.text,"Si sois al menos {var:NumHeroes} investigador@s en este espacio\n\nPodéis salir de la Mansión del Dr.Blackwood.\n"
EventxObjetivoCumplidoHeroes.button1,Botón1
EventRoomTauletaTrobat2.text," clanKlack! \nSe abre un cajón lateral que hasta ahora era invisible.\n\nEncuentras el objeto único {c:QItemLlavePlata}. \nGanas una pista {clue}.\n\nElimina la ficha de Observación."
EventRoomTauletaTrobat2.button1,Continuar
