.,French
EventTioHablas.button2,- Faites-moi le plaisir d'arrêter ça !
EventTioPerdone.text,|||Pendant quelques secondes, tout reste identique, il continue de jouer et la femme de réciter sans s'arrêter.\nPuis, il vous regarde, les yeux voilés, sans ciller.\nEt il s'arrête de jouer.\nD'une voix caverneuse comme venue d'un autre monde, il vous demande :\n\"- Es-tu {c:EventInici} ?\"\n\"- Où est {c:EventInici} ?\"\nEt vous entendez dans votre esprit : \"- Qu'il vienne, maintenant !!\"\n\nUne force invisible vous pousse hors de la pièce\nvers la case adjacente de la tuile {c:TilePont}.\nVous recevez une carte Horreur, annulée par {will}.|||
EventTioPerdone.button1,Continuer
EventTioHablas2.text,|||Vous vous approchez à nouveau de lui.\nEt vous sentez votre peau se hérisser.\nQuelque chose résonne dans votre tête par-dessus la mélodie enragée.\nParmi ces murmures, vous comprenez :\n\"- Je veux seulement mon parent\"\n\"- Amène {c:EventInici}, MAINTENANT !\"\n\nVous êtes projeté à travers la porte.\nVous recevez une carte Dégât, annulée par {agility}.|||
EventTioHablas2.button1,Continuer
SpawnMama.text,"Remplacez le pion de personnage\npar la figurine de {c:SpawnMama}."
SpawnMama.button1,Continuer
TokenAltarMama.text,C'est une femme d'une beauté indescriptible.
TokenAltarMama.button1,Lui parler {action}
EventMama.text,"Elle est d'une beauté... difficile à décrire.\nElle continue de chanter sa litanie, totalement possédée,\nignorant votre existence."
EventMama.button1,Excusez-moi, s'il vous plaît !
EventMama.button2,Assez, arrêtez !
EventMamaPlease.text,|||C'est une femme d'une beauté... indescriptible...\n... tellurique... paralysante... tant que vous ne clignez pas des yeux.\nSi vous le faites, si vous clignez des yeux, pendant une milliseconde, vous croyez apercevoir une peau bleu-vert craquelée.\nEt des mains palmées aux griffes acérées.\nPendant une fraction de seconde, elle regarde vers la \"porte\" derrière elle et tourne immédiatement des yeux énormes et larmoyants vers vous...\nChaque investigateur dans la pièce reçoit une carte Horreur, annulée par {lore}.|||
EventMamaPlease.button1,Continuer
TokenAltarMama.button2,L'attaquer {action}
EventMamaDefiende.text,"Elle prononce des mots dans une langue obscure.\nLes investigateurs sur la tuile {c:TileAltar} tentent de résister avec ({strength}, 2).\nCeux qui réussissent peuvent effectuer une action supplémentaire.\nS'ils échouent, ils gagnent l'état Étourdi."
EventMamaDefiende.button1,Continuer
TokenAltarMesa.button1,Explorer {action}
EventAltarMesa.text,"C'est un cadavre momifié selon une méthode ancestrale.\nIl a été déterré et peint avec les symboles arcaniques jaunes de fertilité et de renaissance.\nQuelle abomination comptaient-ils faire avec lui ?\n\nVous trouvez la preuve {c:QItemPruebaMesa}.\nVous gagnez un indice {clue}.\n\nSupprimez le pion Recherche."
TokenAltarMesa.text,Sur la table de pierre se trouve un ancien cadavre humain.
EventAltarMesa.button1,Continuer
EventCovaLosa2.button1,Avez-vous une source de lumière ?
EventCovaLosa2.button2,Sans lumière
EventCriptaLuz.button1,Continuer
EventCriptaLuz.text,"Vous levez le bras avec la lumière pour éclairer la pièce lugubre.\nQuelque chose s'éloigne, se cachant dans la noirceur."
EventCriptaZombieGo.button1,Continuer
EventCovaLosa1.button1,Continuer
EventCovaLosa.button1,Continuer
TokenCriptaTomba.text,"Les tombes ont été profanées.\nEt leurs occupants n'y sont plus.\n\nFaites un test d'{observation}."
TokenCriptaTomba.button1,{success}{success}
TokenCriptaTomba.button2,{success}
TokenCriptaTomba.button3,Échec
EventCriptaTomba2.text,"Vous voyez des taches de peinture jaune sur la pierre et sur de petits os humains.\nEt vous arrivez à de nouvelles conclusions.\nVous recevez l'objet unique {c:QItemPruebaTomba}.\nEt vous recevez deux indices {clue}.\n\nRetirez le pion Recherche."
EventCriptaTomba2.button1,Continuer
EventCriptaTesoro.text,Au fond de la tombe, vous trouvez l'objet {c:QItemMasEquipo}.
EventCriptaTesoro.button1,Continuer
EventCriptaTomba1.text,"Vous voyez des taches de peinture jaune.\nEt des marques de griffures sur la pierre.\nEt vous arrivez à de nouvelles conclusions.\n\nVous recevez l'objet unique {c:QItemPruebaTomba}.\nEt un indice {clue}.\n\nRetirez le pion Recherche."
EventCriptaTomba1.button1,Continuer
EventCriptaTombaFallo.text,Vous remuez la dalle et un morceau tombe au sol. <b>FRACAS !!</b>
EventCriptaTombaFallo.button1,Continuer
SpawnZombieCripta.button1,Continuer
EventPortalEntra.text,"Un crépitement vous hérisse les poils sur tout le corps.\nC'est une caresse et une morsure à la fois, ça brûle et ça rafraîchit.\nEt une force violente vous soulève du sol et vous absorbe...\n\nLa Sorcière ferme les paupières une seconde et grogne en regardant le portail du coin de l'œil, avec une grimace qui ressemble à un sourire de dégoût ou de plaisir.\n\nL'investigateur laisse tomber ses objets et disparaît.\nRetirez la figurine de l'investigateur du plateau.\nIl n'est pas considéré comme Éliminé, mais le joueur ne peut plus intervenir tant que sa figurine ne revient pas sur le plateau."
EventPortalEntra.button1,Continuer
EventAltarPortal.button2,Ne pas entrer
EventBiblioQuadreResolt.text,"Un bruit d'engrenages retentit et le tableau s'écarte.\nUn trou dans le mur vous donne accès à un étrange objet :\nUne magnifique dague courbée et brillante.\nLa lame est très fine et tranchante.\nLa poignée est richement décorée de symboles et de figures géométriques.\nUn triangle se détache, avec des pierres brillantes aux trois sommets.\n\nVous recevez l'Objet {c:QItemDagaRitual}.\nRetirez le pion Interaction."
EventFantasmaMort.text,"L'entité se dissout sous vos yeux dans un cri désespéré.\nSon visage triste reste gravé sur votre rétine.\nUne tristesse et une solitude infinies vous envahissent.\n\nVous pouvez retirer la figurine du Spectre."
EventRoomLlit.button1,Continuer
SpawnRuidoProfundoCuina.button1,Continuer
SpawnRuidoProfundoCuina.text,"Yeux morts, peau écailleuse et l'odeur des tombes marines... un cauchemar qui vous traque, dégoulinant d'algues, d'eau et de vase.\n\nPlacez la figurine Hybride de Profond à l'emplacement indiqué dans la Cuisine."
EventRuidoCocina.text,"Les bruits que vous avez faits semblent avoir un écho ailleurs dans la maison. Vous entendez des grattements et des frottements sur les murs et les sols jusqu'à ce que des pas se précisent :\nla cuisine !!"
EventRuidoCocina.button1,Continuer
EventRuidoDespensa.text,"Vos BRUITS ont réveillé les ombres.\nDes clapotis et des grognements résonnent en réponse."
SpawnProfundoSotano.button1,Continuer
SpawnProfundoDespensa.button1,Continuer
SpawnProfundoSotano.text,"Une sorte d'animal anthropomorphe dégoulinant d'eau et de boue saute à quatre pattes sur le sol du sous-sol.\nIl éclabousse d'une eau d'un vert répulsif et flaire l'air à la recherche de l'origine de ces sons gênants.\nIl cherche à déchiqueter celui qui les produit.\n\nPlacez une figurine de Profond à l'endroit indiqué."
EventProfundoAvanza.button1,Continuer
EventEsquinaEspejoPrueboconDaga2.text,"Une forte décharge vous projette contre le mur.\n\nVous subissez 3 Dégâts, annulés par {strength}.\nVous gagnez l'état Étourdi."
EventEsquinaEspejoPrueboconDaga2.button1,Continuer
EventEsquinaEspejoAgujeroSICruz.button2,Annuler
EventSotanAction_Primer.text,"Vous cherchez des traces de frottement ou des courants d'air.\n\nRéussissez un test d'{observation}.\n+1 dé pour chaque investigateur dans la case."
EventSotanAction_Primer.button1,Continuer
EventPont2.text,"En vous redressant, vous vous agrippez aux mains courantes en corde.\nEt l'un des tendeurs se détache, entraînant quelques roches qui tombent en faisant du BRUIT dans l'abîme noir."
EventPont2.button1,Continuer
EventPont3.text,"Vous entendez les pierres tomber, frappant les parois.\nChaque impact vous paralyse un peu plus.\nVous scrutez l'obscurité sous vos pieds en calculant la distance.\n\nTomp, PLONK, TUMBP, plumn, splashhh... ... ??? !!\n\n<b>- Qu'est-ce que c'était que ça ?</b>"
EventPont3.button1,Continuer
EventxObjetivoActivado.button1,Continuer
TokenObjetivo.text,"Vous arrivez à la porte haletants, presque sans souffle.\nIl semble que vous puissiez vous échapper, cette fois.\nSi vous avez au moins {var:NumPruebas} preuves."
TokenObjetivo.button1,Nous avons les preuves
UIObjetivoCumplidoTxt.uitext,"Vous franchissez la porte en poussant.\nVous sortez au soleil. Il est chaud et agréable.\nPlus rien ne peut vous nuire.\n\n<b>*** OBJECTIF ATTEINT ***</b>\n\nVous avez survécu.\nVous avez des preuves de ce qui se passe.\nVos blessures guériront.\nVous trouverez de l'aide.\nQuelqu'un vous croira\net ils mettront fin à la menace.\nIls viendront préparés et...\nIls vous croiront, n'est-ce pas ?\nIls DOIVENT vous croire !! N'EST-CE PAS ??\n\n(Ils le feront forcément...)\n\nFIN ?"
EventTioHablar.text,"Vous vous approchez lentement alors qu'il continue de jouer de sa flûte infernale. Obsédé, ne voyant rien.\n- Es-tu {c:EventInici} ?"
EventTioHablar.button1,Je suis {c:EventInici}
EventTioHablar.button2,Je suis un autre investigateur
EventTioSoyYo.button2,Échec
EventMamaMuerta.text,"Les yeux de la sorcière deviennent liquides comme du pétrole.\nPuis l'orifice de sa bouche.\nSon visage s'enfonce dans une noirceur qui n'existe pas.\nTout son corps convulse et se replie sur lui-même.\nVers l'intérieur.\nIl rétrécit, se brise, se liquéfie dans l'espace,\ndans un clignement rythmique et hypnotique.\n\nDans la salle de l'autel, le portail fluctue.\nEt les rythmes se synchronisent.\nJusqu'à ce qu'ils ne fassent plus qu'un.\nEt disparaissent dans un claquement.\n\nRetirez la figurine de la sorcière.\n\nL'investigateur peut retirer l'une de ses cartes Horreur face cachée."
EventMamaMuerta.button1,Continuer
EventMamaMuerta2.text,"Là où se trouvait la sorcière, il n'y a plus rien,\nseulement un vide crépitant.\nDans la salle de l'autel reste une fissure bouillonnante.\nDes doigts visqueux en émergent.\nUne main déchire la surface gélatineuse.\nEt un corps humain s'effondre.\n \nC'est l'investigateur qui était entré dans le portail.\nPlacez sa figurine dans la salle de l'Autel face au portail.\nLa fissure se referme dans un craquement qui déchire l'espace et le temps, comme si elle n'avait jamais existé.\n\nL'investigateur défausse toutes ses cartes Dégât et Horreur.\nEt gagne les états Fou et Blessé.\n"
EventMamaMuerta2.button1,Continuer
EventxELIMINADO.button1,Continuer
EventxEliminadoCheck.text,"{success}\n\nLe tour dont vous disposiez pour atteindre l'Objectif,\naprès l'élimination de l'investigateur,\ns'est écoulé...\n\n{success}"
EventxELIMINADO.text,"*** INVESTIGATEUR ÉLIMINÉ ***\nSelon les règles du jeu,\nlorsqu'un investigateur est Éliminé,\nl'Objectif doit être résolu au tour suivant.\n***********************"
EventxEliminadoCheck.button1,Continuer
SpawnZombieAltar.text,"Le cadavre sur l'Autel de pierre craque lui aussi.\nIl se brise et se tord.\nEt il se met debout, obscènement provocateur.\n\nS'il y a un pion Recherche, retirez-le.\nPlacez une figurine de Zombie sur l'Autel.\n"
SpawnZombieAltar.button1,Continuer
EventMama5Turnos_Zombie.button1,Continuer
UIObjetivoCumplido_cont.button1,Bouton1
EventPortalEngulle5.button1,Continuer
SpawnShoggoth.text,"De l'autre côté, une forme commence à se matérialiser.\nDe plus en plus grande, énorme, comme un train.\nElle se presse contre les parois avec ses bulles protoplasmiques visqueuses et ses myriades d'yeux semblables à des pustules de lumière.\nPlacez un monstre {c:SpawnShoggoth}."
EventPortalEngulle5.text,"Le Portail crépite à nouveau, comme lorsqu'il a englouti l'investigateur.\nIl semble s'ouvrir et recracher quelque chose de l'autre côté."
SpawnShoggoth.button1,Continuer
EventEsquinaEspejo1Acierto.button1,Continuer
EventEsquinaEspejoFallo.text,"C'est confortable et ça sent bon, une chaleur douce caresse votre peau.\nVous vous assoupissez et rêvez de fêtes et de danses autour du feu.\nLa chaleur sur votre visage, sur vos joues, la chaleur dans vos yeux.\nÇA BRÛLE !! Vous vous réveillez en sursaut.\nVous lâchez ce que vous aviez en main et arrachez vos bras du piège du tiroir.\nVous subissez 1 carte Dégât et 1 Horreur, annulée par {lore}.\n"
EventEsquinaEspejoFallo.button1,Continuer
TokenEsquinaEspejoAccion.text,Le miroir et son trou en forme de croix grecque continuent de vous attirer, comme le courant d'un fleuve vers une cascade...
TokenEsquinaEspejoAccion.button1,Enquêter {action}
EventxObjetivoActivado.text,"*** OBJECTIF ***\nVous avez enfin ce que vous étiez venu chercher.\nVous savez maintenant ce qui est arrivé au Dr Blackwood.\nEt vous entrevoyez ce qui pourrait arriver.\nLes Investigateurs gagnent la partie si au moins {var:NumHeroes} investigateurs parviennent à sortir,\navec au moins {var:NumPruebas} preuves.\nActuellement, vous avez collecté {var:Pruebas} preuves.\n*********************\nPlacez un pion Interaction dans le {c:TileHall}.\n"
Event_ActivaBruja.text,"Le chant sombre s'arrête soudainement.\n...\nLe silence vide vous serre le cœur.\nAvec effroi, vous voyez que la femme ne chante plus, et qu'elle vous cherche.\nElle vous traque du regard, par-delà vos âmes."
Event_ActivaBruja.button1,Continuer
EventDespatxPortaTeclau.button3,Annuler
EventDagaLook.text,"Une dague courbée et brillante.\nLa lame est très fine.\nLa poignée est richement décorée de pierres précieuses formant des symboles et des figures géométriques.\nUn triangle aux cristaux brillants se détache sur ses trois sommets.\nParfois, elle émet une lueur verte obscène.\n\n{success}\nElle possède la capacité <b>Projeter</b> qui permet, sans dépenser d'action, de donner la dague à un autre investigateur à portée durant votre tour.\nLorsqu'elle est utilisée comme arme, lancez <b>deux dés supplémentaires</b>."
EventDagaLook.button1,Continuer
EventRoom2CartaRecoge.button1,Continuer
EventRoom2CajaTroballa.button1,Continuer
TokenRoom2Carta.button1,Examiner le Papier {action}
EventRoom2CartaRecoge.text,"Vous glissez vos doigts entre les toiles d'araignée et ramassez le papier\npoisseux de sang.\n\nC'est une lettre adressée à {c:EventInici}.\nD'une calligraphie précipitée et tachée de caillots.\n\nRetirez le pion Observation."
CustomMonster_EspectroHenry.monstername,Spectre
EventSotanEscala.button4,Attendre...
EventRoom2Armario.button3,Échec
EventFINAL.button1,FIN
TokenCovaExplPont.button1,Explorer {action}
TokenDespatxExploPorta.button2,Forcer la porte {action}
TokenPontExplAltar.text,"Une porte inquiétante encastrée dans la roche.\nDe l'autre côté... de la musique ?"
EventCriptaFondoTest.text,"L'obscurité est si dense que personne ne veut y regarder.\nL'odeur de putréfaction séculaire vous asphyxie.\n\n(Laissez le pion Vue)"
TokenCriptaFondo.button1,Continuer
EventRuidoDespensa.button1,Continuer
SpawnProfundoDespensa.text,"Une sorte d'animal anthropomorphe couvert de plantes marines gargouille ou bafouille tout en scrutant de ses yeux à trois paupières, cherchant l'origine des bruits gênants. Pour trouver celui qui les a faits et le faire taire à jamais.\n\nPlacez une figurine de Profond à l'endroit indiqué."
EventProfundoAvanza.text,"Le monstre Profond\navance d'un pas vers l'Investigateur le plus proche."
SpawnProfundoPont.button1,Continuer
SpawnProfundoPont.text,"Le puits répercute l'écho de griffes grattant la pierre.\nDe plus en plus haut, jusqu'à racler les planches du pont.\nUn être nauséabond, entre le poisson et l'hominidé, bondit entre les cordes en dégoulinant d'une eau trouble et pestilentielle.\nLe monstre, alerté par les bruits, cherche la cause pour les faire cesser.\nIl flaire l'air : Votre air.\n\nPlacez un monstre Profond sur la tuile {c:TilePont}."
EventPortalNoEntras.text,"Votre vue se brouille et vous avez envie de vous laisser aller.\nEntrer par la porte et tout oublier, en finir avec tout.\nBercé par le bourdonnement électrique...\nVous luttez contre votre obsession et décidez de reculer, et de vous éloigner suffisamment.\n\nVous recevez une carte Horreur face cachée,\net retournez une carte Horreur que vous aviez déjà.\n\nVous recevez un indice {clue}."
EventPortalNoEntras.button1,Continuer
UIObjetivoCumplidoTxt.button1,FIN ?
EventFINAL.text,|||\n<i>\"La mort est miséricordieuse,\ncar d'elle il n'y a pas de retour ;\nmais pour celui qui revient\ndes chambres les plus profondes de la nuit,\négaré et conscient,\nil n'y a plus jamais de paix.\"</i>\n                                    <b>H.P. Lovecraft</b>\n|||
UIFAILTEXT.button1,FIN
EventRuidoSotano.text,"Vos <b>BRUITS</b> ont réveillé les ombres.\nDes clapotis et des grognements résonnent en réponse."
EventRuidoSotano.button1,Continuer
EventDagaLook2.text,"{success}{success}{success}\nAprès y avoir inséré la <color=yellow>pièce dorée</color>.\n(ce qui change le profil de la pointe en croix grecque)\nLes dégâts sont également doublés.\n\nElle peut être <b>Projetée</b>.\nOn lance <b>+2 dés</b> car elle est Enchantée.\nEt les dégâts finaux sont multipliés <b>par deux</b> grâce à la Pièce dorée."
EventDagaLook2.button1,Continuer
EventRuidoPont.button1,Continuer
EventRuidoPont.text,"Vos <b>BRUITS</b> ont réveillé l'Abîme.\nDes clapotis et des rugissements stridents résonnent en réponse."
UIHallCuadroTocame.uitext,Touche-moi
EventHallCuadroClick.button1,Cesser de le regarder
EventHallCuadroClick.button2,Continuer à regarder
EventHall_AdExplorers.text,"\nPlacez des pions Exploration sur les deux portes.\nEt un pion Recherche sur le tableau.\n\nVotre enquête commence. En avant !!"
EventTioOtro.button3,L'attaquer
EventMamaMuerta3.text,Retirez le pion Interaction situé sur la tuile {c:TileAltar}.
EventMamaMuerta3.button1,Continuer
CustomMonster_Mama_Bruixa.monstername,Mama Y'hlaarsh (Sorcière)
CustomMonster_Mama_Bruixa.info,-
TokenCovaExpCripta.text,Une sinistre dalle de pierre noire ferme la grotte.
EventCriptaFondoInsiste.button1,Bouton1
EventCriptaFondoTest.button1,Continuer
EventCriptaZombieGo.text,Dans l'obscurité, des bruits de traînements s'approchent de vous.
EventCriptaZombie_Mort.button1,Continuer
EventCriptaFondo_Usado.button1,Bouton1
EventCriptaZombie_Mort.text,"La créature s'effondre au sol et tombe en poussière.\n\n<i><color=grey>Des murmures, des murmures dans les profondeurs</color></i>\n"
SpawnZombieCripta.text,"De la noirceur,\nquelque chose qui fut une femme rampe vers vous.\nSon crâne est enfoncé et des lignes de peinture jaune coulent d'orbites vides.\n\nPlacez une figurine de Zombie."
EventHallAdModulos.button1,Continuer
UIDiarioText3.uitext,"<i>...j'ai prévenu Henry... l'arrêter#####...terrible faute\n...je l'ai gardée dans le tabl###géom###cret...\n..#en pièces séparées.. dague encha##tée#... est si puissante m###biblio##\nElle saura comment s'en occuper, ce journal# m'#ide\n...Solstice...conséquence#...profundis\n...imparable## ..trop ..Mama ....###amais ! ...\nIls vien##...la Porte...##n'est pas revenu #la fin####\n </i>"
EventBiblioA_1Uno.text,"Des centaines de livres archaïques\nque vous voulez lire dès maintenant... Tous.\nDes parchemins parlant de voyages en Afrique et en Amérique du Sud.\nDes coutumes de tribus inconnues compilées et documentées.\nVous soupçonnez que l'oncle Blackwood avait des intérêts très particuliers et qu'il les avait approfondis.\nApprenant des choses que personne ne devrait peut-être savoir.\n\nVous recevez un indice {clue}.\nEt vous gardez l'objet {c:QItemCosa_o_Libro}.\n\nRetirez le pion Recherche."
CustomMonster_EspectroHenry.info,-
UIHallQuadro2_continua.button1,Bouton1
UIDespatxParetContinua.button1,Bouton1
EventCuinaTerraObserva.text,"{observation}Il semble y avoir des taches qui pourraient confirmer une théorie.\nRegardez bien. Faites un test d'{observation}."
EventCuinaTerraObserva.button1,Continuer
TokenCuinaExplRebost.text,La petite porte du garde-manger est également sale et rayée.
UIRoom2CartaCont.button1,Bouton1
TokenCuinaAlmacenAcccion.text,Plusieurs objets et ustensiles sont tombés au sol.
UICovaDibuixCont.button1,Bouton1
EventTioSoyYoSuperado.text,|||Son regard triste vous transperce.\nUne larme apparaît dans son œil droit, puis une autre.\nSilence.\n...\n- J'ai été une mauvaise personne, {c:EventInici}.\n- J'ai fait des choses... Henry... et d'autres... beaucoup.\n- Et Ils sont ici, à cause de moi...\nSoudain, son visage change, ses yeux s'écarquillent :\n\"LA FAMILLE, C'EST CE QUI COMPTE LE PLUS !!\"\nL'écho de son cri résonne comme un féroce présage.|||
UIFail_cont.button1,Bouton1
EventMama5Turnos_Zombie.text,"La {c:SpawnMama} ferme les yeux et la bouche.\nElle les serre comme si elle poussait quelque chose de l'intérieur.\nElle tend une main vers l'Autel, et la pierre craque..."
EventRuidoPasillo.text,"Vos <b>BRUITS</b>\nont attiré l'attention.\nQuelque chose de répugnant se déplace dans le couloir."
EventRuidoPasillo.button1,Continuer
SpawnProfundo_Pasillo.text,"Un terrible être hybride apparaît dans le couloir, avec des yeux bulbeux et affamés sur un visage visqueux et fétide. Il cherche l'origine des bruits avec avidité.\n\nPlacez dans le {c:TilePasilloComedor} une figurine d'Hybride de Profond."
SpawnProfundo_Pasillo.button1,Continuer
EventRoom2Armario.button5,Échec
Event_TESTer.button1,Bouton1
EventRoom2Armario.button4,Réussite du test
EventRoom2ArmarioAbrirSI.button1,Plus fort !!
TokenEsquinaHuecoVista.button1,Continuer
EventEsquinaHuecoPuerta.text,"\nUn encadrement de porte élevé laisse voir tout le coin du couloir.\nIl ne sera pas considéré comme une porte, mais seulement comme une limite d'espace.\n\nRetirez le pion Vue."
EventEsquinaHuecoPuerta.button1,Continuer
TokenEsquinaHuecoVista.text,Tout investigateur dans {c:TileEsquina} peut voir qu'il y a ici un passage sans porte.
EventxObjetivoCumplidoCheckPortal.button1,Continuer
EventxObjetivoCumplidoCheckPortal.text,"Avant de sortir par la porte principale,\naccablés par la perte d'un camarade,\nvous ressentez un bouillonnement désagréable au-dessus de vous.\nUne vibration secoue vos crânes.\nEn levant les yeux, vous voyez une sorte de déchirure dans la réalité, une fracture spatio-temporelle.\nEt quelque chose en surgit.\nDes mains visqueuses glissent du portail, suivies d'un corps qui tombe au sol, à vos pieds.\nPerplexes et effrayés, vous reconnaissez votre camarade perdu dans le portail.\nRécupérez la figurine de l'investigateur.\nLe joueur défausse toutes ses cartes Dégât et Horreur.\nEt reçoit les états Blessé et Fou.\n\nLe portail disparaît.\nVous vous regardez tous et courez vers la sortie.\n"
EventEsquinaEspejoPrueboconDaga.button2,Laisser tomber, pour l'instant
EventxObjetivoCumplidoHeroes2.button1,Nous sommes assez nombreux !!
EventxObjetivoCumplidoHeroes2.button2,Pas encore !!
EventxObjetivoCumplidoHeroes2.text,"Si vous êtes au moins {var:NumHeroes} investigateurs dans cet espace,\n\nVous pouvez quitter le Manoir du Dr Blackwood.\n"
EventxObjetivoCumplidoHeroes.button1,Bouton1
EventRoomTauletaTrobat2.text," clanKlack !\nUn tiroir latéral, jusqu'alors invisible, s'ouvre.\n\nVous trouvez l'objet unique {c:QItemLlavePlata}.\nVous gagnez un indice {clue}.\n\nSupprimez le pion Observation."
EventRoomTauletaTrobat2.button1,Continuer
UIDiarioText4Continua.button1,Bouton1
